DATE,DESCIPTION,DEBIT,CREDIT,BALANCE,,
3/2/2026,PAYMENT THANK YOU/PAIEMEN T MERCI,,80,2998.35,,
2/26/2026,OVERLIMIT FEE,29,,3078.35,,
2/25/2026,PURCHASE INTEREST,44.84,,3049.35,,
2/25/2026,CASH INTEREST,9.18,,3004.51,,
2/23/2026,CASH ADV/BT/CONV CHQ FEE,5,,2995.33,,
2/23/2026,"CREDIT TORONTO, ON",,9.67,2990.33,,
2/23/2026,CASH ADVANCE/AVANCE DE FO NDS,28.26,,3000,,
2/17/2026,"Microsoft*Subscription Mississauga, ON",5.59,,2971.74,,
2/17/2026,PAYMENT THANK YOU/PAIEMEN T MERCI,,35,2966.15,,
2/3/2026,CASH ADV/BT/CONV CHQ FEE,5,,3001.15,,
2/3/2026,CASH ADVANCE/AVANCE DE FO NDS,10,,2996.15,,
2/2/2026,"Amazon.ca Prime Member amazon.ca/pri, BC",11.19,,2986.15,,
2/2/2026,PAYMENT THANK YOU/PAIEMEN T MERCI,,132,2974.96,,
1/27/2026,OVERLIMIT FEE,29,,3106.96,,
1/26/2026,OVERLIMIT FEE,29,,3077.96,,
1/26/2026,PURCHASE INTEREST,33.24,,3048.96,,
1/26/2026,CASH INTEREST,5.72,,3015.72,,
1/23/2026,CASH ADV/BT/CONV CHQ FEE,5,,3010,,
1/23/2026,CASH ADVANCE/AVANCE DE FO NDS,1.66,,3005,,
1/22/2026,CASH ADV/BT/CONV CHQ FEE,5,,3003.34,,
1/22/2026,CASH ADVANCE/AVANCE DE FO NDS,42,,2998.34,,
1/19/2026,PAYMENT THANK YOU/PAIEMEN T MERCI,,48.4,2956.34,,
1/8/2026,CASH ADV/BT/CONV CHQ FEE,5,,3004.74,,
1/8/2026,CASH ADVANCE/AVANCE DE FO NDS,35,,2999.74,,
1/6/2026,PAYMENT THANK YOU/PAIEMEN T MERCI,,25,2964.74,,
1/5/2026,"RENDER.COM RENDER.COM, CA 6.73 USD @ 1.408618",9.48,,2989.74,,
1/5/2026,"MICROSOFT*STORE MSBILL.INFO, ON",5.59,,2980.26,,
1/5/2026,PAYMENT THANK YOU/PAIEMEN T MERCI,,30.31,2974.67,,
12/31/2025,CASH ADV/BT/CONV CHQ FEE,5,,3004.98,,
12/31/2025,CASH ADVANCE/AVANCE DE FO NDS,10,,2999.98,,
12/30/2025,INTEREST REVERSAL,,0.02,2989.98,,
12/30/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,52.26,2990,,
12/24/2025,CASH INTEREST,4.35,,3042.26,,
12/24/2025,PURCHASE INTEREST,27.91,,3037.91,,
12/23/2025,CASH ADV/BT/CONV CHQ FEE,5,,3010,,
12/23/2025,CASH ADVANCE/AVANCE DE FO NDS,21,,3005,,
