DATE,DESCIPTION,DEBIT,CREDIT,BALANCE
3/2/2026,Internet Banking FULFILL REQUEST 105845283912 Yisehak Getachew Abdella,50.45,,
3/2/2026,Internet Banking INTERNET TRANSFER 000000233812,,30,
3/2/2026,Point of Sale - Interac RETAIL PURCHASE 000001001534 WALMART STORE #,153.46,,
3/2/2026,Internet Banking INTERNET TRANSFER 000000100705,,70,
3/2/2026,Internet Banking INTERNET TRANSFER 000000122877,,26.09,
3/2/2026,Internet Banking INTERNET TRANSFER 000000130773,16.09,,
3/2/2026,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE NETFLIX.COM 605910817020,21.27,,
3/2/2026,Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE RENDER.COM 605901131874 7.00 USD @ 1.402857,9.82,,
3/2/2026,Internet Banking FULFILL REQUEST 105840941517 Yisehak Getachew Abdella,68.34,,
3/2/2026,Internet Banking INTERNET TRANSFER 000000118132,,120,
3/2/2026,Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE PAYPAL *DINHQUO 605853855901 56.66 CAD @ 1.000000,56.66,,
2/27/2026,Branch Transaction OVERDRAFT INTEREST CHARGE,2.25,,
2/27/2026,Branch Transaction OVER LIMIT FEE,10,,
2/27/2026,Branch Transaction SERVICE CHARGE CAPPED MONTHLY FEE$16.95 RECORD-KEEPING N/A,16.95,,
2/27/2026,Internet Banking E-TRANSFER 105840355592 Isaac A,19.68,,
2/27/2026,Internet Banking INTERNET TRANSFER 000000129211,80,,
2/27/2026,Internet Banking E-TRANSFER 105840287034 YISEHAK ABDELLA,,416,
2/26/2026,Electronic Funds Transfer PREAUTHORIZED DEBIT IC_4K.3NJ_08 Insurance Corporation of BC,96.32,,
2/17/2026,Branch Transaction EFT DEBIT REVERSAL IC_4K.3NJ_08 INSURANCE CORPORATION OF BC,,78.32,
2/17/2026,Branch Transaction EFT DEBIT REVERSAL 21019753 WC INSURANCE PAYMENT,,59.29,
2/17/2026,Branch Transaction NON-SUFFICIENT FUNDS CHARGE,90,,
2/17/2026,Electronic Funds Transfer PREAUTHORIZED DEBIT IC_4K.3NJ_08 Insurance Corporation of BC,78.32,,
2/17/2026,Electronic Funds Transfer PREAUTHORIZED DEBIT 21019753 WC Insurance Payment,59.29,,
2/17/2026,Internet Banking INTERNET TRANSFER 000000124600,9.76,,
2/17/2026,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 604862601899,12.31,,
2/17/2026,Point of Sale - Interac RETAIL PURCHASE 604616952336 TIM HORTONS #81,21.55,,
2/17/2026,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE CITY OF VICTORI 604524105832,30,,
2/17/2026,"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE VIDITURE, INC 604516117298 362.25 USD @ 1.398095",506.46,,
2/17/2026,Internet Banking INTERNET TRANSFER 000000116209,,575,
2/13/2026,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 604462216027,4.47,,
2/13/2026,Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE PAYPAL *NGUYEN 604419511826 90.45 CAD @ 1.000000,90.45,,
2/13/2026,Internet Banking INTERNET TRANSFER 000000215847,,86.03,
