DATE,DESCIPTION,DEBIT,CREDIT,BALANCE
3/2/2026,Internet Banking INTERNET TRANSFER 000000233812,30,,
3/2/2026,Internet Banking INTERNET TRANSFER 000000100705,70,,
3/2/2026,Internet Banking INTERNET TRANSFER 000000122877,26.09,,
3/2/2026,Internet Banking INTERNET TRANSFER 000000130773,,16.09,
3/2/2026,Internet Banking E-TRANSFER 105843766949 Jenny Phan,1650,,
3/2/2026,Internet Banking INTERNET TRANSFER 000000118132,120,,
2/27/2026,Branch Transaction BONUS INTEREST,,0.7,
2/27/2026,Branch Transaction INTEREST,,0.06,
2/27/2026,Branch Transaction OVERDRAFT INTEREST CHARGE,0.06,,
2/27/2026,Branch Transaction OVERDRAFT FEE,5,,
2/27/2026,Branch Transaction E-TRANSFER NETWORK FEE,4.5,,
2/27/2026,Branch Transaction SERVICE CHARGE,65,,
2/27/2026,Internet Banking E-TRANSFER 105840276956 YISEHAK ABDELLA,,1880,
2/27/2026,Internet Banking E-TRANSFER 105839090138 Isaac A,300,,
2/26/2026,Internet Banking E-TRANSFER 105837475113 Isaac A,75,,
2/25/2026,Internet Banking E-TRANSFER 105837367545 YISEHAK ABDELLA,,375,
2/20/2026,Internet Banking FULFILL REQUEST 105831222654 Yisehak Getachew Abdella,28.26,,
2/20/2026,Internet Banking INTERNET TRANSFER 000000138839,,28.26,
2/17/2026,Internet Banking FULFILL REQUEST 105827347736 Yisehak Getachew Abdella,39.96,,
2/17/2026,Internet Banking INTERNET TRANSFER 000000124600,,9.76,
2/17/2026,Point of Sale - Interac RETAIL PURCHASE 000001001573 WALMART STORE #,101.04,,
2/17/2026,Point of Sale - Interac RETAIL PURCHASE 604600124531 SHELL C47030,8.27,,
2/17/2026,Point of Sale - Interac RETAIL PURCHASE 000097472809 SUBWAY 14690,12.42,,
2/17/2026,Internet Banking INTERNET TRANSFER 000000116209,575,,
2/17/2026,Point of Sale - Interac RETAIL PURCHASE 000097425765 SUBWAY 14690,20.38,,
2/13/2026,Internet Banking INTERNET TRANSFER 000000215847,86.03,,
2/13/2026,Internet Banking INTERNET BILL PAY 000000132313 KSI LAW,587,,
2/13/2026,Internet Banking FULFILL REQUEST 105822275061 Cash Money,499.66,,
2/13/2026,Internet Banking INTERNET TRANSFER 000000109692,35,,
2/13/2026,Internet Banking INTERNET TRANSFER 000000108965,135,,
2/13/2026,Internet Banking E-TRANSFER 105822207305 YISEHAK ABDELLA,,2100,
2/2/2026,Internet Banking FULFILL REQUEST 105808238330 Yisehak Getachew Abdella,84.95,,
2/2/2026,Point of Sale - Interac MDSE RETURN 603314496108 SHELL C47030,,35.29,
2/2/2026,Point of Sale - Interac RETAIL PURCHASE 603220188066 SHELL C47030,53.21,,
2/2/2026,Internet Banking INTERNET TRANSFER 000000122652,,100.61,
2/2/2026,Internet Banking E-TRANSFER 105806741157 Jenny Phan,1650,,
2/2/2026,Internet Banking INTERNET TRANSFER 000000214433,,1650,
1/30/2026,Branch Transaction SERVICE CHARGE,10,,
1/26/2026,Point of Sale - Interac RETAIL PURCHASE 000001001496 WALMART STORE #,39.82,,
1/26/2026,Point of Sale - Interac RETAIL PURCHASE 602321229501 SHELL C47030,27.92,,
1/26/2026,Internet Banking INTERNET TRANSFER 000000132567,,70,
1/5/2026,Internet Banking INTERNET TRANSFER 000000229092,25,,
1/5/2026,Internet Banking INTERNET TRANSFER 000000228854,25,,
1/5/2026,Internet Banking INTERNET TRANSFER 000000106976,,50,
12/5/2025,Internet Banking INTERNET TRANSFER 000000137083,,15,
11/28/2025,Branch Transaction BONUS INTEREST,,0.02,
11/28/2025,Branch Transaction OVERDRAFT INTEREST CHARGE,0.02,,
11/28/2025,Branch Transaction SERVICE CHARGE,15,,
11/21/2025,Internet Banking INTERNET TRANSFER 000000101210,5,,
11/18/2025,Internet Banking INTERNET TRANSFER 000000125967,12.44,,
11/17/2025,Point of Sale - Interac RETAIL PURCHASE 696001001099 CHV43087 25 HOU,25,,
11/14/2025,Point of Sale - Interac RETAIL PURCHASE 531815876448 STARBUCKS COFFE,6.78,,
11/14/2025,Point of Sale - Interac RETAIL PURCHASE 000097840837 SUBWAY 14690,40.78,,
11/14/2025,Internet Banking INTERNET TRANSFER 000000137159,,90,
11/12/2025,Internet Banking INTERNET TRANSFER 000000220043,2.08,,
11/12/2025,Internet Banking INTERNET TRANSFER 000000229295,10,,
11/12/2025,Internet Banking INTERNET TRANSFER 000000228785,,2.08,
