DATE,DESCIPTION,DEBIT,CREDIT,BALANCE
2/27/2026,PAYMENT - THANK YOU,,11.86,3100.48
2/23/2026,INTEREST CHARGE -PURCHASE,30.63,,3112.34
2/23/2026,INTEREST CHARGE - CASH,5.91,,3081.71
2/23/2026,BALANCE PROTECTION INS,36.56,,3075.8
2/23/2026,"OVERLIMIT FEE FEB 23, 202",29,,3039.24
2/14/2026,Microsoft*Microsoft 365 P,30.24,,3010.24
2/13/2026,PAYMENT - THANK YOU,,32.57,2980
2/11/2026,PROTON AG* PROTON AG,16.24,,3012.57
2/5/2026,GOOGLE *Google One,0.77,,2996.33
2/3/2026,CASH ADVANCE FEE,3.5,,2995.56
2/2/2026,CASH ADV./AV. DE FONDS,50,,2992.06
1/31/2026,ID ASSIST/ASSIT IDENT,,7.94,2942.06
1/30/2026,PAYMENT - THANK YOU,,159.3,2950
1/23/2026,INTEREST CHARGE -PURCHASE,25.78,,3109.3
1/23/2026,INTEREST CHARGE - CASH,4.58,,3083.52
1/23/2026,BALANCE PROTECTION INS,36.53,,3078.94
1/23/2026,"OVERLIMIT FEE JAN 23, 202",29,,3042.41
1/21/2026,DOORDASHDASHPASS,10.49,,3013.41
1/21/2026,CASH ADVANCE FEE,3.5,,3002.92
1/20/2026,CASH ADV./AV. DE FONDS,4,,2999.42
1/16/2026,PAYMENT - THANK YOU,,50,2995.42
1/13/2026,ID ASSIST 8779001837,22.39,,3045.42
1/11/2026,PROTON AG* PROTON AG,16.24,,3023.03
1/6/2026,CASH ADVANCE FEE,3.5,,3006.79
1/6/2026,CASH ADVANCE FEE,3.5,,3003.29
1/6/2026,CASH ADVANCE FEE,3.5,,2999.79
1/5/2026,CASH ADV./AV. DE FONDS,80,,2996.29
1/5/2026,CASH ADV./AV. DE FONDS,40,,2916.29
1/5/2026,CASH ADV./AV. DE FONDS,109.68,,2876.29
1/5/2026,GOOGLE *Google One,0.77,,2766.61
1/2/2026,PAYMENT - THANK YOU,,54.19,2765.84
1/1/2026,WWW.VIDITURE.COM,,224.16,2820.03
12/30/2025,CASH ADVANCE FEE,3.5,,3044.19
12/29/2025,PAYMENT - THANK YOU,,350,3040.69
12/29/2025,PAYMENT - THANK YOU,,100,3390.69
12/29/2025,PAYMENT - THANK YOU,,95,3490.69
12/27/2025,WWW.VIDITURE.COM,235.83,,3585.69
12/27/2025,DOORDASHBIRYANIPALA,42.64,,3349.86
12/27/2025,THE HOME DEPOT #7074,50,,3307.22
12/27/2025,THE HOME DEPOT #7074,,20.88,3257.22
12/26/2025,COURSERA*602058956,83,,3278.1
12/26/2025,Microsoft*Store,14.56,,3195.1
12/25/2025,GREEN MACHINE-MACH VERTE,60,,3180.54
12/23/2025,INTEREST CHARGE -PURCHASE,29.22,,3120.54
12/23/2025,INTEREST CHARGE - CASH,2.27,,3091.32
12/23/2025,BALANCE PROTECTION INS,36.66,,3089.05
12/23/2025,"OVERLIMIT FEE DEC 12, 202",29,,3052.39
12/22/2025,PAYMENT - THANK YOU,,5,3023.39
12/22/2025,PAYMENT - THANK YOU,,55,3028.39
12/22/2025,CASH ADVANCE FEE,3.5,,3083.39
12/21/2025,Microsoft*Microsoft 365 P,12.89,,3079.89
12/21/2025,DOORDASHDASHPASS,10.49,,3067
12/20/2025,ID ASSIST 8779001837,22.39,,3056.51
12/20/2025,SHELL C47030,35.29,,3034.12
12/19/2025,PAYMENT - THANK YOU,,150,2998.83
12/19/2025,CASH ADV./AV. DE FONDS,50,,3148.83
12/11/2025,APPLE.COM/BILL,11.19,,3098.83
12/11/2025,PROTON AG* PROTON AG,10.63,,3087.64
12/9/2025,CASH ADVANCE FEE,3.5,,3077.01
12/8/2025,APPLE.COM/BILL,44.79,,3073.51
12/8/2025,APPLE.COM/BILL,44.78,,3028.72
12/8/2025,PROTON AG* PROTON AG,6.24,,2983.94
12/8/2025,CASH ADV./AV. DE FONDS,16,,2977.7
12/8/2025,PAYMENT - THANK YOU,,20.86,2961.7
12/6/2025,Audible CA*BI86W85N0,11.19,,2982.56
12/5/2025,PAYMENT - THANK YOU,,78.63,2971.37
11/28/2025,PAYMENT - THANK YOU,,79.41,3050
11/24/2025,INTEREST CHARGE -PURCHASE,30.95,,3129.41
11/24/2025,INTEREST CHARGE - CASH,2.19,,3098.46
11/24/2025,BALANCE PROTECTION INS,36.76,,3096.27
11/24/2025,"OVERLIMIT FEE NOV 24, 202",29,,3059.51
11/22/2025,DD/DOORDASHBIRYANIPALA,63.22,,3030.51
11/21/2025,PAYMENT - THANK YOU,,75,2967.29
11/19/2025,BCAA-MEMBERSHIP,11.81,,3042.29
11/14/2025,Microsoft*Microsoft 365 P,12.89,,3030.48
11/14/2025,PAYMENT - THANK YOU,,20,3017.59
11/13/2025,ID ASSIST 8779001837,22.39,,3037.59
11/12/2025,CASH ADVANCE FEE,3.5,,3015.2
11/12/2025,CASH ADVANCE FEE,3.5,,3011.7
11/11/2025,PROTON AG* PROTON AG,6.24,,3008.2
11/10/2025,SHELL C47030,17.29,,3001.96
11/10/2025,CASH ADV./AV. DE FONDS,20,,2984.67
11/10/2025,CASH ADV./AV. DE FONDS,4,,2964.67
11/8/2025,WALMART.CA,65.07,,2960.67
11/7/2025,PAYMENT - THANK YOU,,101.76,2895.6
10/31/2025,PAYMENT - THANK YOU,,35,2997.36
10/29/2025,BCAA-MEMBERSHIP,11.81,,3032.36
10/24/2025,PAYMENT - THANK YOU,,50,3020.55
10/24/2025,CASH ADVANCE FEE,3.5,,3070.55
10/23/2025,CASH ADV./AV. DE FONDS,70,,3067.05
10/23/2025,INTEREST CHARGE -PURCHASE,30.91,,2997.05
10/23/2025,INTEREST CHARGE - CASH,1.02,,2966.14
10/23/2025,BALANCE PROTECTION INS,35.54,,2965.12
10/20/2025,CASH ADVANCE FEE,3.5,,2929.58
10/17/2025,PAYMENT - THANK YOU,,50,2926.08
10/17/2025,CASH ADV./AV. DE FONDS,42.14,,2976.08
10/14/2025,Microsoft*Microsoft 365 P,12.89,,2933.94
10/13/2025,ID ASSIST 8779001837,22.39,,2921.05
10/10/2025,PAYMENT - THANK YOU,,75,2898.66
10/3/2025,PAYMENT - THANK YOU,,50,2973.66
9/26/2025,PAYMENT - THANK YOU,,25,3023.66
9/1/2025,PURCHASE ADJUSTMENT,,24.64,3048.66
7/26/2025,PURCHASE ADJUSTMENT,,24.64,3073.3
6/26/2025,PURCHASE ADJUSTMENT,,24.64,3097.94
9/23/2025,INTEREST CHARGE -PURCHASE,30.59,,3122.58
9/23/2025,INTEREST CHARGE - CASH,0.72,,3091.99
9/23/2025,BALANCE PROTECTION INS,36.68,,3091.27
9/23/2025,"OVERLIMIT FEE SEP 23, 202",29,,3054.59
9/19/2025,BCAA-MEMBERSHIP,11.81,,3025.59
9/15/2025,CASH ADVANCE FEE,3.5,,3013.78
9/14/2025,MICROSOFT*MICROSOFT 36,12.89,,3010.28
9/13/2025,ID ASSIST 8779001837,22.39,,2997.39
9/12/2025,PAYMENT - THANK YOU,,49.64,2975
9/12/2025,CASH ADV./AV. DE FONDS,25,,3024.64
9/1/2025,SQSP* WORKSP#196874851,24.64,,2999.64
8/29/2025,PAYMENT - THANK YOU,,23.26,2975
8/29/2025,PAYMENT - THANK YOU,,110,2998.26
