DATE,DESCIPTION,DEBIT,CREDIT,BALANCE
10/14/2025,SHELL C47030      _F,7.55,,585.23
10/14/2025,SUBWAY 14690      _F,36.96,,548.27
10/14/2025,SEND E-TFR ***7dJ,45.27,,503
10/14/2025,SEND E-TFR ***VTA,50,,453
10/14/2025,GFL - DUNFORD H   _F,10.75,,442.25
10/14/2025,MAD GREEKS 2 FO   _F,83.14,,359.11
10/14/2025,BELL MOBILITY     _V,313.46,,45.65
10/14/2025,SUBWAY 14690      _F,38.65,,7
10/16/2025,IW471 TFR-FR 4012227,,50,57
10/16/2025,E-TRANSFER ***fCn,,15.58,72.58
10/16/2025,SEND E-TFR ***2zZ,72.58,,0
10/17/2025,B.C. General Em  PAY,,130,130
10/17/2025,B.C. General Em  PAY,,650,780
10/17/2025,TIM HORTONS #81   _F,9.53,,770.47
10/17/2025,JT233 TFR-TO 4012227,75,,695.47
10/17/2025,JT240 TFR-TO C/C,50,,645.47
10/17/2025,JT274 TFR-TO 7152309,25.23,,620.24
10/17/2025,WALMART STORE #,106.34,,513.9
10/17/2025,WALMART STORE #,157.08,,356.82
10/17/2025,JY001 TFR-FR 4012227,,75,431.82
10/17/2025,JY105 TFR-FR C/C,,42.14,473.96
10/20/2025,WALMART STORE #,,95.63,569.59
10/20/2025,JY114 TFR-FR 7152309,,20.45,590.04
10/20/2025,SHELL C47030      _F,90.56,,499.48
10/20/2025,SEND E-TFR ***EW2,125,,374.48
10/20/2025,E-TRANSFER ***WrG,,125,499.48
10/20/2025,E-TRANSFER ***3qr,,41.39,540.87
10/20/2025,E-TRANSFER ***xYd,,28.11,568.98
10/20/2025,WALMART STORE #,,60.44,629.42
10/20/2025,E-TRANSFER ***XNb,,25,654.42
10/20/2025,LOAN INSURANCE PREM,44.45,,609.97
10/20/2025,LN PYMT   *022973402,586.01,,23.96
10/21/2025,SHELL C47030      _F,17.92,,6.04
10/21/2025,WALMART STORE #   _F,3.96,,2.08
10/23/2025,IR515 TFR-FR C/C,,70,72.08
10/23/2025,SEND E-TFR ***drD,27.58,,44.5
10/24/2025,B.C. General Em  PAY,,650,694.5
10/24/2025,TIM HORTONS #81   _F,13.59,,680.91
10/24/2025,SEND E-TFR ***u3w,50,,630.91
10/24/2025,SEND E-TFR ***Q5s,75,,555.91
10/24/2025,JX062 TFR-TO 4012227,55,,500.91
10/24/2025,JX003 TFR-TO C/C,50,,450.91
10/24/2025,SEND E-TFR ***4DQ,150.91,,300
10/24/2025,SEND E-TFR ***sM2,75,,225
10/27/2025,SHELL C47030      _F,35.29,,189.71
10/27/2025,SHELL C47030      _F,15.39,,174.32
10/27/2025,GFL - DUNFORD H   _F,11.99,,162.33
10/27/2025,UW210 TFR-TO 4012227,2.33,,160
10/27/2025,SEND E-TFR ***wK8,100,,60
10/27/2025,LY475 TFR-FR 4012227,,55,115
10/27/2025,SEND E-TFR ***3du,115,,0
10/27/2025,CANCEL E-TFR ***3du,,115,115
10/27/2025,SEND E-TFR ***YkN,115,,0
10/31/2025,B.C. General Em  PAY,,650,650
10/31/2025,SEND E-TFR ***dae,75,,575
10/31/2025,JL234 TFR-TO 4012227,47.67,,527.33
10/31/2025,JL240 TFR-TO C/C,35,,492.33
10/31/2025,SEND E-TFR ***XMQ,142.33,,350
10/31/2025,SEND E-TFR ***FUC,225,,125
10/31/2025,SEND E-TFR ***mDg,41.41,,83.59
10/31/2025,PROVINCE OF B.C  PAY,,34,117.59
10/31/2025,WITHDRAWAL FEES,61.25,,56.34
10/31/2025,MONTHLY ACCOUNT FEE,3.95,,52.39
11/3/2025,SEND E-TFR ***pwf,32.39,,20
11/3/2025,LX000 TFR-FR 4012227,,14,34
11/3/2025,WALMART STORE #,24.37,,9.63
11/3/2025,RI251 TFR-TO 7152309,2.55,,7.08
11/3/2025,RI254 TFR-TO 4012227,7.08,,0
11/7/2025,PROVINCE OF B.C  PAY,,1521.76,1521.76
11/7/2025,SEND E-TFR ***z2V,120,,1401.76
11/7/2025,JJ165 TFR-TO C/C,101.76,,1300
11/7/2025,SEND E-TFR ***gcU,1050,,250
11/7/2025,LUMAYA VYN  101.84_V,101.84,,148.16
11/7/2025,SEND E-TFR ***bmV,73.16,,75
11/10/2025,SEND E-TFR ***c2c,25,,50
11/10/2025,SEND E-TFR ***cAK,46.74,,3.26
11/10/2025,LX321 TFR-FR C/C,,20,23.26
11/10/2025,LX332 TFR-FR C/C,,4,27.26
11/10/2025,WALMART STORE #,26.67,,0.59
11/12/2025,WU005 TFR-FR 4012227,,7.34,7.93
11/12/2025,E-TRANSFER ***F6h,,15.81,23.74
11/12/2025,SHELL C47030      _F,17.92,,5.82
11/13/2025,E-TRANSFER ***6mX,,450,455.82
11/13/2025,SEND E-TFR ***RHA,150,,305.82
11/14/2025,IM543 TFR-TO C/C,20,,285.82
11/14/2025,IM550 TFR-TO 4012227,35.82,,250
11/17/2025,SEND E-TFR ***5nS,55,,195
11/17/2025,SEND E-TFR ***yGA,55,,140
11/17/2025,CANCEL E-TFR ***5nS,,55,195
11/17/2025,SEND E-TFR ***rVr,65,,130
11/17/2025,RQ104 TFR-FR 7152309,,460,590
11/17/2025,STARBUCKS COFFE   _F,4.78,,585.22
11/17/2025,RX210 TFR-FR 4012227,,4.78,590
11/17/2025,SEND E-TFR ***GeT,55,,535
11/18/2025,RX561 TFR-FR 7152309,,64,599
11/18/2025,LN PYMT   *022973402,586.01,,12.99
11/18/2025,WI505 TFR-FR 7152309,,213.89,226.88
11/18/2025,SEND E-TFR ***b6f,170,,56.88
11/18/2025,CANCEL E-TFR ***b6f,,170,226.88
11/18/2025,WO100 TFR-FR 7152309,,58.49,285.37
11/18/2025,SEND E-TFR ***sWy,35.37,,250
11/18/2025,LOAN INSURANCE PREM,44.45,,205.55
11/19/2025,"GITHUB, IN    5.67_V",8.25,,197.3
11/19/2025,STARBUCKS COFFE   _F,6.78,,190.52
11/19/2025,WALMART STORE #,119.25,,71.27
11/19/2025,WALMART STORE #   _F,40.23,,31.04
11/20/2025,PETRO-CANADA 69,30,,1.04
11/20/2025,IX243 TFR-FR 4012227,,31.01,32.05
11/20/2025,SEND E-TFR ***68B,65,,-32.95
11/21/2025,IX253 TFR-FR 7152309,,46.57,13.62
11/21/2025,E-TRANSFER ***Jvf,,1500,1513.62
11/21/2025,PROVINCE OF B.C  PAY,,1236.82,2750.44
11/21/2025,SEND E-TFR ***8Qr,2250,,500.44
11/21/2025,SEND E-TFR ***6qE,150.44,,350
11/21/2025,JQ023 TFR-TO 4012227,50,,300
11/21/2025,JQ030 TFR-TO C/C,75,,225
