DATE,DESCIPTION,DEBIT,CREDIT,BALANCE
5/9/2025,LINE OF CREDIT OPEN,,0,0
5/12/2025,RY010 TFR-TO C/C,1450,,1450
5/12/2025,RZ192 TFR-TO C/C,150,,1600
5/13/2025,WW064 TFR-TO 6354125,250,,1850
5/13/2025,WW093 TFR-TO C/C,500,,2350
5/13/2025,WW112 TFR-TO 6354125,534.34,,2884.34
5/15/2025,IW205 TFR-TO 6354125,250,,3134.34
5/15/2025,IO025 TFR-TO C/C,365.66,,3500
5/20/2025,E-TRANSFER ***Eq5,,75,3425
5/20/2025,UY011 TFR-TO C/C,500,,3925
5/20/2025,RU062 TFR-TO 6354125,275,,4200
5/20/2025,RW224 TFR-TO 6354125,150,,4350
5/20/2025,WQ151 TFR-TO 6354125,150,,4500
5/21/2025,WP104 TFR-FR 6354125,,315.81,4184.19
5/21/2025,HO011 TFR-TO C/C,315.81,,4500
5/23/2025,JL340 TFR-FR 6354125,,100,4400
5/26/2025,UR251 TFR-TO 6354125,150,,4550
5/29/2025,IJ201 TFR-TO C/C,150,,4700
5/30/2025,JW200 TFR-TO 6354125,150,,4850
5/30/2025,INTEREST,17.34,,4867.34
5/30/2025,INSURANCE,0.77,,4868.11
6/2/2025,UB451 TFR-TO 6354125,100,,4968.11
6/2/2025,RJ504 TFR-FR 6354125,,168.11,4800
6/9/2025,UW215 TFR-FR 6354125,,150,4650
6/13/2025,IN042 TFR-TO 6354125,150,,4800
6/16/2025,UL423 TFR-TO 6354125,175,,4975
6/16/2025,LO442 TFR-FR 6354125,,144.39,4830.61
6/19/2025,IO193 TFR-TO 6354125,100,,4930.61
6/23/2025,UJ570 TFR-TO 6354125,45,,4975.61
6/23/2025,UT572 TFR-TO 6354125,23,,4998.61
6/26/2025,IW151 TFR-FR 6354125,,498.61,4500
6/30/2025,UT454 TFR-TO C/C,200,,4700
6/30/2025,RX063 TFR-TO C/C,150,,4850
6/30/2025,INTEREST,31.26,,4881.26
6/30/2025,INSURANCE,2.66,,4883.92
7/2/2025,WQ440 TFR-TO C/C,66.08,,4950
7/4/2025,IB524 TFR-TO 6354125,45,,4995
7/4/2025,JO461 TFR-FR 6354125,,200,4795
7/7/2025,RW494 TFR-TO 6354125,200,,4995
7/10/2025,IW172 TFR-FR 6354125,,25,4970
7/16/2025,HL524 TFR-TO 6354125,27,,4997
7/18/2025,JZ523 TFR-FR 6354125,,77,4920
7/21/2025,RI425 TFR-TO 6354125,55,,4975
7/25/2025,IB410 TFR-TO 6354125,15,,4990
7/28/2025,UC453 TFR-TO 6354125,10,,5000
7/31/2025,INTEREST,33.45,,5033.45
7/31/2025,INSURANCE,3.09,,5036.54
8/5/2025,UL021 TFR-FR 6354125,,61.54,4975
8/5/2025,RR411 TFR-TO 6354125,15,,4990
8/11/2025,UZ304 TFR-TO 6354125,10,,5000
8/14/2025,IU151 TFR-FR 6354125,,10,4990
8/18/2025,UQ023 TFR-FR 6354125,,10,4980
8/18/2025,UC005 TFR-TO 6354125,15,,4995
8/25/2025,RT525 TFR-TO 6354125,4.87,,4999.87
8/29/2025,JH345 TFR-FR 6354125,,16.22,4983.65
8/29/2025,JO404 TFR-FR 6354125,,35,4948.65
8/29/2025,JO502 TFR-FR 6354125,,1.74,4946.91
8/29/2025,INTEREST,33.73,,4980.64
8/29/2025,INSURANCE,2.76,,4983.4
9/15/2025,RW232 TFR-TO 6354125,16.6,,5000
9/18/2025,IX173 TFR-FR 6354125,,20,4980
9/22/2025,LT365 TFR-TO 6354125,20,,5000
9/26/2025,JI501 TFR-FR 6354125,,50,4950
9/29/2025,INTEREST,32.11,,4982.11
9/29/2025,INSURANCE,2.76,,4984.87
10/1/2025,HU514 TFR-TO 6354125,15.13,,5000
10/3/2025,JI354 TFR-FR 6354125,,60,4940
10/3/2025,JL010 TFR-TO 6354125,50,,4990
10/9/2025,IO125 TFR-TO 6354125,10,,5000
10/10/2025,JJ415 TFR-FR 6354125,,50,4950
