[dotenv@17.3.1] injecting env (14) from .env -- tip: 🔐 prevent committing .env to code: https://dotenvx.com/precommit
Mongo connected
API on http://localhost:3000
[2026-05-18T02:00:58.327Z] GET /api/auth/me
[2026-05-18T02:00:58.492Z] GET /api/notifications
[2026-05-18T02:00:58.527Z] GET /api/accounts
[2026-05-18T02:00:58.533Z] GET /api/analytics/financial-snapshot
[2026-05-18T02:00:58.537Z] GET /api/analytics/cash-flow-history
[2026-05-18T02:00:58.539Z] GET /api/analytics/investment-allocation
[2026-05-18T02:00:58.545Z] GET /api/analytics/spending-by-category
[2026-05-18T02:00:58.673Z] GET /api/auth/me
[2026-05-18T02:00:58.691Z] GET /api/analytics/budget-comparison
[2026-05-18T02:00:58.755Z] GET /api/notifications
[2026-05-18T02:00:58.772Z] GET /api/analytics/investment-allocation
[2026-05-18T02:00:58.787Z] GET /api/analytics/spending-by-category
[2026-05-18T02:00:58.848Z] GET /api/analytics/budget-comparison
[2026-05-18T02:00:58.871Z] GET /api/accounts
[2026-05-18T02:00:58.891Z] GET /api/analytics/financial-snapshot
[2026-05-18T02:00:59.023Z] GET /api/analytics/cash-flow-history
[2026-05-18T02:01:03.784Z] GET /api/net-worth/current
[2026-05-18T02:01:03.786Z] GET /api/net-worth/history
[2026-05-18T02:01:32.388Z] POST /api/demo/activate
[dotenv@17.3.1] injecting env (0) from .env -- tip: 🛠️  run anywhere with `dotenvx run -- yourcommand`
[2026-05-18T02:01:36.568Z] GET /api/auth/me
[2026-05-18T02:01:36.673Z] GET /api/notifications
[2026-05-18T02:01:43.532Z] GET /api/accounts
[2026-05-18T02:01:43.536Z] GET /api/analytics/financial-snapshot
[2026-05-18T02:01:43.538Z] GET /api/analytics/cash-flow-history
[2026-05-18T02:01:43.541Z] GET /api/analytics/investment-allocation
[2026-05-18T02:01:43.543Z] GET /api/analytics/spending-by-category
[2026-05-18T02:01:43.546Z] GET /api/analytics/budget-comparison
[2026-05-18T02:01:52.610Z] GET /api/accounts
[2026-05-18T02:01:52.615Z] GET /api/analytics/financial-snapshot
[2026-05-18T02:01:52.616Z] GET /api/analytics/cash-flow-history
[2026-05-18T02:01:52.618Z] GET /api/analytics/investment-allocation
[2026-05-18T02:01:52.619Z] GET /api/analytics/spending-by-category
[2026-05-18T02:01:52.621Z] GET /api/analytics/budget-comparison
[2026-05-18T02:02:16.399Z] POST /api/demo/regenerate
[2026-05-18T02:02:19.855Z] GET /api/auth/me
[2026-05-18T02:02:19.927Z] GET /api/notifications
[2026-05-18T02:02:19.954Z] GET /api/accounts
[2026-05-18T02:02:19.957Z] GET /api/analytics/financial-snapshot
[2026-05-18T02:02:19.959Z] GET /api/analytics/cash-flow-history
[2026-05-18T02:02:19.964Z] GET /api/analytics/investment-allocation
[2026-05-18T02:02:19.966Z] GET /api/analytics/spending-by-category
[2026-05-18T02:02:20.057Z] GET /api/analytics/budget-comparison
[2026-05-18T02:07:20.467Z] GET /api/notifications
[2026-05-18T02:12:20.463Z] GET /api/notifications
[2026-05-18T02:17:20.478Z] GET /api/notifications
[2026-05-18T02:22:20.467Z] GET /api/notifications
[2026-05-18T02:27:20.459Z] GET /api/notifications
